urdu,roman
برنگ بوئے گل اس باغ کے ہم اشنا ہوتے کہ ہم راہ صبا ٹک سیر کرتے پھر ہوا ہوتے سراپا ارزو ہونے نے بندہ کر دیا ہم کو وگرنہ ہم خدا تھے گر دل بے مدعا ہوتے فلک اے کاش ہم کو خاک ہی رکھتا کہ اس میں ہم غبار راہ ہوتے یا کسو کی خاک پا ہوتے الٰہی کیسے ہوتے ہیں جنہیں ہے بندگی خواہش ہمیں تو شرم دامن گیر ہوتی ہے خدا ہوتے تو ہے کس ناحیے سے اے دیار عشق کیا جانوں ترے باشندگاں ہم کاش سارے بے وفا ہوتے اب ایسے ہیں کہ صانع کے مزاج اوپر بہم پہنچے جو خاطر خواہ اپنے ہم ہوئے ہوتے تو کیا ہوتے کہیں جو کچھ ملامت گر بجا ہے میرؔ کیا جانیں انہیں معلوم تب ہوتا کہ ویسے سے جدا ہوتے,ba ra g e b e gul us baa h ke ham shn hote ki hamr h e sab tuk sair karte phir hav hote sar p aarz hone ne banda kar diy ham ko vagarna ham hud the gar dil e be mudda. hote falak ai kaash ham ko haak h rakht ki is me ham hub r e r h hote y kas k h k e p hote il h kaise hote hai jinhe hai bandag hv hish hame to sharm d man g r hot hai hud hote t hai kis n hiye se ai day r e ishq ky j n tire b shindag ham kaash saare bevaf hote ab aise hai ki s ne.a ke miz j uupar baham pahu che jo h tir hv h apne ham hue hote to ky hote kah jo kuchh mal mat gar baj hai 'm r' ky j ne unhe ma.al m tab hot ki vaise se jud hote
جن کے لیے اپنے تو یوں جان نکلتے ہیں اس راہ میں وے جیسے انجان نکلتے ہیں کیا تیر ستم اس کے سینے میں بھی ٹوٹے تھے جس زخم کو چیروں ہوں پیکان نکلتے ہیں مت سہل ہمیں جانو پھرتا ہے فلک برسوں تب خاک کے پردے سے انسان نکلتے ہیں کس کا ہے قماش ایسا گودڑ بھرے ہیں سارے دیکھو نہ جو لوگوں کے دیوان نکلتے ہیں گہ لوہو ٹپکتا ہے گہ لخت دل انکھوں سے یا ٹکڑے جگر ہی کے ہر ان نکلتے ہیں کریے تو گلہ کس سے جیسی تھی ہمیں خواہش اب ویسے ہی یہ اپنے ارمان نکلتے ہیں جاگہ سے بھی جاتے ہو منہ سے بھی خشن ہو کر وے حرف نہیں ہیں جو شایان نکلتے ہیں سو کاہے کو اپنی تو جوگی کی سی پھیری ہے برسوں میں کبھو ایدھر ہم ان نکلتے ہیں ان ائینہ رویوں کے کیا میرؔ بھی عاشق ہیں جب گھر سے نکلتے ہیں حیران نکلتے ہیں,jin ke liye apne to yuu jaan nikalte hai is raah me ve jaise anj n nikalte hai ky t r e sitam us ke siine me bh tuute the jis za hm ko ch r huu paik n nikalte hai mat sahl hame jaano phirt hai falak barso tab haak ke parde se ins n nikalte hai kis k hai qim sh ais g da bhare hai saare dekho na jo logo ke d v n nikalte hai gah loh tapakt hai gah la ht e dil kho se y tuk e jigar h ke har aan nikalte hai kariye to gila kis se jais th hame hv hish ab vaise h ye apne arm n nikalte hai j gah se bh jaate ho mu h se bh hashin ho kar ve harf nah hai jo sh y n nikalte hai so kaahe ko apn t jog k s pher hai barso me kabh dhar ham aan nikalte hai un . na r yo ke ky 'm r' bh shiq hai jab ghar se nikalte hai hair n nikalte hai
جب رونے بیٹھتا ہوں تب کیا کسر رہے ہے رومال دو دو دن تک جوں ابر تر رہے ہے اہ سحر کی میری برچھی کے وسوسے سے خورشید کے منہ اوپر اکثر سپر رہے ہے اگہ تو رہیے اس کی طرز رہ و روش سے انے میں اس کے لیکن کس کو خبر رہے ہے ان روزوں اتنی غفلت اچھی نہیں ادھر سے اب اضطراب ہم کو دو دو پہر رہے ہے اب حیات کی سی ساری روش ہے اس کی پر جب وہ اٹھ چلے ہے ایک ادھ مر رہے ہے تلوار اب لگا ہے بے ڈول پاس رکھنے خون اج کل کسو کا وہ شوخ کر رہے ہے در سے کبھو جو اتے دیکھا ہے میں نے اس کو تب سے ادھر ہی اکثر میری نظر رہے ہے اخر کہاں تلک ہم اک روز ہو چکیں گے برسوں سے وعدۂ شب ہر صبح پر رہے ہے میرؔ اب بہار ائی صحرا میں چل جنوں کر کوئی بھی فصل گل میں نادان گھر رہے ہے,jab rone baitht huu tab ky kasar rahe hai r m l do do din tak juu abr tar rahe hai h e sahar k mer barchh ke vasvase se hursh d ke mu h uupar aksar sipar rahe hai aagah to rahiye us k tarz e rah o ravish se aane me us ke lekin kis ko habar rahe hai un rozo itn haflat achchh nah idhar se ab iztir b ham ko do do pahr rahe hai b e hay t k s saar ravish hai us k par jab vo uth chale hai ek aadh mar rahe hai talv r ab lag hai be dol paas rakhne huun aaj kal kis k vo sho h kar rahe hai dar se kabh jo aate dekh hai mai ne us ko tab se udhar h aksar mer nazar rahe hai hir kah talak ham ik roz ho chuke ge barso se va.ada e shab har sub.h par rahe hai 'm r' ab bah r aa. sahr me chal jun kar ko bh fasl e gul me n d n ghar rahe hai
اوے گی میری قبر سے اواز میرے بعد ابھریں گے عشق دل سے ترے راز میرے بعد جینا مرا تو تجھ کو غنیمت ہے نا سمجھ کھینچے گا کون پھر یہ ترے ناز میرے بعد شمع مزار اور یہ سوز جگر مرا ہر شب کریں گے زندگی ناساز میرے بعد حسرت ہے اس کے دیکھنے کی دل میں بے قیاس اغلب کہ میری انکھیں رہیں باز میرے بعد کرتا ہوں میں جو نالے سرانجام باغ میں منہ دیکھو پھر کریں گے ہم اواز میرے بعد بن گل موا ہی میں تو پہ تو جا کے لوٹیو صحن چمن میں اے پر پرواز میرے بعد بیٹھا ہوں میرؔ مرنے کو اپنے میں مستعد پیدا نہ ہوں گے مجھ سے بھی جانباز میرے بعد,veg mer qabr se v z mere ba.ad ubhre ge ishq e dil se tire raaz mere ba.ad jiin mir to tujh ko han mat hai n samajh kh g kaun phir ye tire naaz mere ba.ad sham e maz r aur ye soz e jigar mir har shab kare ge zindag n s z mere ba.ad hasrat hai is ke dekhne k dil me be qay s a hlab ki mer khe rahe baaz mere ba.ad kart huu mai jo naale sar anj m baa h me mu h dekho phir kare ge ham v z mere ba.ad bin gul mu h mai to pa t j ke lautiyo sehn e chaman me ai par e parv z mere ba.ad baith huu 'm r' marne ko apne me musta.id paid na ho ge mujh se bh j b z mere ba.ad
چمن میں گل نے جو کل دعوی جمال کیا جمال یار نے منہ اس کا خوب لال کیا فلک نے اہ تری رہ میں ہم کو پیدا کر برنگ سبزۂ نورستہ پائمال کیا رہی تھی دم کی کشاکش گلے میں کچھ باقی سو اس کی تیغ نے جھگڑا ہی انفصال کیا مری اب انکھیں نہیں کھلتیں ضعف سے ہمدم نہ کہہ کہ نیند میں ہے تو یہ کیا خیال کیا بہار رفتہ پھر ائی ترے تماشے کو چمن کو یمن قدم نے ترے نہال کیا جواب نامہ سیاہی کا اپنی ہے وہ زلف کسو نے حشر کو ہم سے اگر سوال کیا لگا نہ دل کو کہیں کیا سنا نہیں تو نے جو کچھ کہ میرؔ کا اس عاشقی نے حال کیا,chaman me gul ne jo kal d va e jam l kiy jam l e y r ne mu h us k huub laal kiy falak ne aah tir rah me ham ko paid kar ba ra g e sabza e n rasta p .em l kiy rah th dam k kash kash gale me kuchh baaq so us k te h ne jhag h infis l kiy mir ab khe nah khult zo.af se hamdam na kah ki nii d me hai t ye ky hay l kiy bah r e rafta phir aa. tire tam she ko chaman ko yumn e qadam ne tire nih l kiy jav b n ma siy h k apn hai vo zulf kis ne hashr ko ham se agar sav l kiy lag na dil ko kah ky sun nah t ne jo kuchh ki 'm r' k is shiq ne haal kiy
غم رہا جب تک کہ دم میں دم رہا دل کے جانے کا نہایت غم رہا حسن تھا تیرا بہت عالم فریب خط کے انے پر بھی اک عالم رہا دل نہ پہنچا گوشۂ داماں تلک قطرۂ خوں تھا مژہ پر جم رہا سنتے ہیں لیلیٰ کے خیمے کو سیاہ اس میں مجنوں کا مگر ماتم رہا جامۂ احرام زاہد پر نہ جا تھا حرم میں لیک نامحرم رہا زلفیں کھولیں تو تو ٹک ایا نظر عمر بھر یاں کام دل برہم رہا اس کے لب سے تلخ ہم سنتے رہے اپنے حق میں اب حیواں سم رہا میرے رونے کی حقیقت جس میں تھی ایک مدت تک وہ کاغذ نم رہا صبح پیری شام ہونے ائی میرؔ تو نہ چیتا یاں بہت دن کم رہا,ham rah jab tak ki dam me dam rah dil ke jaane k nih yat ham rah husn th ter bahut lam fareb hat ke aane par bh ik aalam rah dil na pahu ch gosha e d m talak qatra e h th mizha par jam rah sunte hai lail ke heme ko siy h us me majn k magar m tam rah j ma e ehr m e z hid par na j th haram me lek n mahram rah zulfe khol to t tuk aay nazar umr bhar yaa k m e dil barham rah us ke lab se tal h ham sunte rahe apne haq me b e haiv sam rah mere rone k haq qat jis me th ek muddat tak vo k haz nam rah sub.h e p r shaam hone aa. 'm r' t na chet yaa bahut din kam rah
اؤ کبھو تو پاس ہمارے بھی ناز سے کرنا سلوک خوب ہے اہل نیاز سے پھرتے ہو کیا درختوں کے سائے میں دور دور کر لو موافقت کسو بے برگ و ساز سے ہجراں میں اس کے زندگی کرنا بھلا نہ تھا کوتاہی جو نہ ہووے یہ عمر دراز سے مانند سبحہ عقدے نہ دل کے کبھو کھلے جی اپنا کیوں کہ اچٹے نہ روزے نماز سے کرتا ہے چھید چھید ہمارا جگر تمام وہ دیکھنا ترا مژۂ نیم باز سے دل پر ہو اختیار تو ہرگز نہ کریے عشق پرہیز کریے اس مرض جاں گداز سے اگے بچھا کے نطع کو لاتے تھے تیغ و طشت کرتے تھے یعنی خون تو اک امتیاز سے مانع ہوں کیوں کہ گریۂ خونیں کے عشق میں ہے ربط خاص چشم کو افشائے راز سے شاید شراب خانے میں شب کو رہے تھے میرؔ کھیلے تھا ایک مغبچہ مہر نماز سے,aao kabh to paas ham re bh naaz se karn sul k huub hai ahl e niy z se phirte ho ky dara hto ke saa.e me duur duur kar lo muv faqat kis be barg o s z se hijr me us ke zindag karn bhal na th kot h jo na hove ye umr e dar z se m nind e sub.ha uqde na dil ke kabh khule j apn kyuu ki uchte na roze nam z se kart hai chhed chhed ham r jigar tam m vo dekhn tir mizha e n m b z se dil par ho i htiy r to hargiz na kariye ishq parhez kariye is maraz e j gud z se aage bichh ke nat ko laate the te h o tasht karte the yaan huun to ik imtiy z se maane ho kyuu ki girya e h n ke ishq me hai rabt e h s chashm ko ifsh e r z se sh yad shar b h ne me shab ko rahe the 'm r' khele th ek mu hbacha mohr e nam z se
جس سر کو غرور اج ہے یاں تاجوری کا کل اس پہ یہیں شور ہے پھر نوحہ گری کا شرمندہ ترے رخ سے ہے رخسار پری کا چلتا نہیں کچھ اگے ترے کبک دری کا افاق کی منزل سے گیا کون سلامت اسباب لٹا راہ میں یاں ہر سفری کا زنداں میں بھی شورش نہ گئی اپنے جنوں کی اب سنگ مداوا ہے اس اشفتہ سری کا ہر زخم جگر داور محشر سے ہمارا انصاف طلب ہے تری بیداد گری کا اپنی تو جہاں انکھ لڑی پھر وہیں دیکھو ائینے کو لپکا ہے پریشاں نظری کا صد موسم گل ہم کو تہ بال ہی گزرے مقدور نہ دیکھا کبھو بے بال و پری کا اس رنگ سے جھمکے ہے پلک پر کہ کہے تو ٹکڑا ہے مرا اشک عقیق جگری کا کل سیر کیا ہم نے سمندر کو بھی جا کر تھا دست نگر پنجۂ مژگاں کی تری کا لے سانس بھی اہستہ کہ نازک ہے بہت کام افاق کی اس کارگہ شیشہ گری کا ٹک میرؔ جگر سوختہ کی جلد خبر لے کیا یار بھروسا ہے چراغ سحری کا,jis sar ko hur r aaj hai yaa t j var k kal us pe yah shor hai phir nauhagar k sharminda tire ru h se hai ru hs r par k chalt nah kuchh aage tire kabk e dar k f q k manzil se gay kaun sal mat asb b lut raah me yaa har safar k zind me bh shorish na ga. apne jun k ab sa g mud v hai is shufta sar k har za hm e jigar d var e mahshar se ham r ins f talab hai tir bed d gar k apn to jah aa kh la phir vah dekho . ne ko lapk hai paresh nazar k sad mausam e gul ham ko tah e b l h guzre maqd r na dekh kabh be b l o par k is ra g se jhamke hai palak par ki kahe t tuk hai mir ashk aq q e jigar k kal sair kiy ham ne samundar ko bh j kar th dast e nigar panja e mizhg k tar k le saa s bh hista ki n zuk hai bahut kaam f q k is k rgah e sh shagar k tuk 'm r' e jigar so hta k jald habar le ky yaar bharos hai char h e sahar k
عام حکم شراب کرتا ہوں محتسب کو کباب کرتا ہوں ٹک تو رہ اے بنائے ہستی تو تجھ کو کیسا خراب کرتا ہوں بحث کرتا ہوں ہو کے ابجد خواں کس قدر بے حساب کرتا ہوں کوئی بجھتی ہے یہ بھڑک میں عبث تشنگی پر عتاب کرتا ہوں سر تلک اب تیغ میں ہوں غرق اب تئیں اب اب کرتا ہوں جی میں پھرتا ہے میرؔ وہ میرے جاگتا ہوں کہ خواب کرتا ہوں,aam hukm e shar b kart huu mohtasib ko kab b kart huu tuk to rah ai bin e hast t tujh ko kais har b kart huu bahs kart huu ho ke abjad hv kis qadar be his b kart huu ko bujht hai ye bha ak me abas tishnag par itaab kart huu sar talak b e te h me huu harq ab ta.ii aab aab kart huu j me phirt hai 'm r' vo mere j gt huu ki hv b kart huu
الٹی ہو گئیں سب تدبیریں کچھ نہ دوا نے کام کیا دیکھا اس بیماری دل نے اخر کام تمام کیا عہد جوانی رو رو کاٹا پیری میں لیں انکھیں موند یعنی رات بہت تھے جاگے صبح ہوئی ارام کیا حرف نہیں جاں بخشی میں اس کی خوبی اپنی قسمت کی ہم سے جو پہلے کہہ بھیجا سو مرنے کا پیغام کیا ناحق ہم مجبوروں پر یہ تہمت ہے مختاری کی چاہتے ہیں سو اپ کریں ہیں ہم کو عبث بدنام کیا سارے رند اوباش جہاں کے تجھ سے سجود میں رہتے ہیں بانکے ٹیڑھے ترچھے تیکھے سب کا تجھ کو امام کیا سرزد ہم سے بے ادبی تو وحشت میں بھی کم ہی ہوئی کوسوں اس کی اور گئے پر سجدہ ہر ہر گام کیا کس کا کعبہ کیسا قبلہ کون حرم ہے کیا احرام کوچے کے اس کے باشندوں نے سب کو یہیں سے سلام کیا شیخ جو ہے مسجد میں ننگا رات کو تھا مے خانے میں جبہ خرقہ کرتا ٹوپی مستی میں انعام کیا کاش اب برقعہ منہ سے اٹھا دے ورنہ پھر کیا حاصل ہے انکھ مندے پر ان نے گو دیدار کو اپنے عام کیا یاں کے سپید و سیہ میں ہم کو دخل جو ہے سو اتنا ہے رات کو رو رو صبح کیا یا دن کو جوں توں شام کیا صبح چمن میں اس کو کہیں تکلیف ہوا لے ائی تھی رخ سے گل کو مول لیا قامت سے سرو غلام کیا ساعد سیمیں دونوں اس کے ہاتھ میں لا کر چھوڑ دیئے بھولے اس کے قول و قسم پر ہائے خیال خام کیا کام ہوئے ہیں سارے ضائع ہر ساعت کی سماجت سے استغنا کی چوگنی ان نے جوں جوں میں ابرام کیا ایسے اہوئے رم خوردہ کی وحشت کھونی مشکل تھی سحر کیا اعجاز کیا جن لوگوں نے تجھ کو رام کیا میرؔ کے دین و مذہب کو اب پوچھتے کیا ہو ان نے تو قشقہ کھینچا دیر میں بیٹھا کب کا ترک اسلام کیا,ult ho ga.ii sab tadb re kuchh na dav ne kaam kiy dekh is b m ri e dil ne hir kaam tam m kiy ahd e jav n ro ro kaat piir me lii khe muu d ya.an raat bahut the jaage sub.h hu r m kiy harf nah j ba hsh me us k h b apn qismat k ham se jo pahle kah bhej so marne k pai h m kiy n haq ham majb ro par ye tohmat hai mu ht r k ch hte hai so aap kare hai ham ko abas badn m kiy saare rind aub sh jah ke tujh se suj d me rahte hai b ke te he tirchhe t khe sab k tujh ko imaam kiy sarzad ham se be adab to vahshat me bh kam h hu koso us k or ga.e par sajda har har gaam kiy kis k ka.aba kais qibla kaun haram hai ky ehr m k che ke us ke b shindo ne sab ko yah se sal m kiy shai h jo hai masjid me na g raat ko th mai h ne me jubba hirqa kurt top mast me in.aam kiy kaash ab burqa mu h se uth de varna phir ky h sil hai aa kh mu de par un ne go d d r ko apne aam kiy yaa ke sap d o siyah me ham ko da hl jo hai so itn hai raat ko ro ro sub.h kiy y din ko juu tuu shaam kiy sub.h chaman me us ko kah takl f e hav le aa. th ru h se gul ko mol liy q mat se sarv hul m kiy s .ad e s m dono us ke haath me l kar chho diye bh le us ke qaul o qasam par haa.e hay l e h m kiy kaam hue hai saare zaa.e.a har saa.at k sam jat se isti hn k chaugun un ne juu juu mai ibr m kiy aise hu e ram hurda k vahshat khon mushkil th sehr kiy e.aj z kiy jin logo ne tujh ko raam kiy 'm r' ke d n o maz.hab ko ab p chhte ky ho un ne to qashqa kh ch dair me baith kab k tark isl m kiy
چلتے ہو تو چمن کو چلئے کہتے ہیں کہ بہاراں ہے پات ہرے ہیں پھول کھلے ہیں کم کم باد و باراں ہے رنگ ہوا سے یوں ٹپکے ہے جیسے شراب چواتے ہیں اگے ہو مے خانے کے نکلو عہد بادہ گساراں ہے عشق کے میداں داروں میں بھی مرنے کا ہے وصف بہت یعنی مصیبت ایسی اٹھانا کار کار گزاراں ہے دل ہے داغ جگر ہے ٹکڑے انسو سارے خون ہوئے لوہو پانی ایک کرے یہ عشق لالہ عذاراں ہے کوہ کن و مجنوں کی خاطر دشت و کوہ میں ہم نہ گئے عشق میں ہم کو میرؔ نہایت پاس عزت داراں ہے,chalte ho to chaman ko chaliye kahte hai ki bah r hai paat hare hai phuul khile hai kam kam b d o b r hai ra g hav se yuu tapke hai jaise shar b chuv te hai aage ho mai h ne ke niklo ahd e b da gus r hai ishq ke maid d ro me bh marne k hai vasf bahut ya.an mus bat ais uth n k r e k r guz r hai dil hai daa h jigar hai tuk e aa s saare huun hue loh paan ek kare ye ishq e l la az r hai kohkan o majn k h tir dasht o koh me ham na ga.e ishq me ham ko 'm r' nih yat p s e izzat d r hai
اس کا خیال چشم سے شب خواب لے گیا قسمے کہ عشق جی سے مرے تاب لے گیا کن نیندوں اب تو سوتی ہے اے چشم گریہ ناک مژگاں تو کھول شہر کو سیلاب لے گیا اوے جو مصطبہ میں تو سن لو کہ راہ سے واعظ کو ایک جام مئے ناب لے گیا نے دل رہا بجا ہے نہ صبر و حواس و ہوش ایا جو سیل عشق سب اسباب لے گیا میرے حضور شمع نے گریہ جو سر کیا رویا میں اس قدر کہ مجھے اب لے گیا احوال اس شکار زبوں کا ہے جائے رحم جس ناتواں کو مفت نہ قصاب لے گیا منہ کی جھلک سے یار کے بے ہوش ہو گئے شب ہم کو میرؔ پرتو مہتاب لے گیا,us k hay l chashm se shab hv b le gay qasme ki ishq j se mire taab le gay kin n ndo ab t sot hai ai chashm e girya n k mizhg to khol shahr ko sail b le gay aave jo mastaba me to sun lo ki raah se vaa.iz ko ek j m e mai e n b le gay ne dil rah baj hai na sabr o hav s o hosh aay jo sail e ishq sab asb b le gay mere huz r sham.a ne girya jo sar kiy roy mai is qadar ki mujhe aab le gay ahv l us shik r zub k hai jaa.e rahm jis n tav ko muft na qass b le gay mu h k jhalak se yaar ke behosh ho ga.e shab ham ko 'm r' partav e maht b le gay
اگے جمال یار کے معذور ہو گیا گل اک چمن میں دیدۂ بے نور ہو گیا اک چشم منتظر ہے کہ دیکھے ہے کب سے راہ جوں زخم تیری دوری میں ناسور ہو گیا قسمت تو دیکھ شیخ کو جب لہر ائی تب دروازہ شیرہ خانے کا معمور ہو گیا پہنچا قریب مرگ کے وہ صید ناقبول جو تیری صید گاہ سے ٹک دور ہو گیا دیکھا یہ ناؤ نوش کہ نیش فراق سے سینہ تمام خانۂ زنبور ہو گیا اس ماہ چاردہ کا چھپے عشق کیونکے اہ اب تو تمام شہر میں مشہور ہو گیا شاید کسو کے دل کو لگی اس گلی میں چوٹ میری بغل میں شیشۂ دل چور ہو گیا لاشہ مرا تسلی نہ زیر زمیں ہوا جب تک نہ ان کر وہ سر گور ہو گیا دیکھا جو میں نے یار تو وہ میرؔ ہی نہیں تیرے غم فراق میں رنجور ہو گیا,aage jam l e y r ke ma.az r ho gay gul ik chaman me d da e be n r ho gay ik chashm e muntazar hai ki dekhe hai kab se raah jo za hm ter duur me n s r ho gay qismat to dekh shai h ko jab lahar aa. tab darv za sh ra h ne k ma.am r ho gay pahu ch qar b marg ke vo said e n qub l jo ter said e g h se tak duur ho gay dekh ye n v nosh ki n sh e fir q se siina tam m h na e zamb r ho gay is m h e ch rdah k chhape ishq ky ke aah ab to tam m shahr me mash.h r ho gay sh yad kaso ke dil ko lag us gal me chot mer ba hal me sh sha e dil chuur ho gay l sha mir tasall na zer e zam hu jab tak na aan kar vo sar e gor ho gay dekh jo mai ne yaar to vo 'm r' h nah tere ham e fir q me ranj r ho gay
بارہا گور دل جھنکا لایا اب کے شرط وفا بجا لایا قدر رکھتی نہ تھی متاع دل سارے عالم میں میں دکھا لایا دل کہ یک قطرہ خوں نہیں ہے بیش ایک عالم کے سر بلا لایا سب پہ جس بار نے گرانی کی اس کو یہ ناتواں اٹھا لایا دل مجھے اس گلی میں لے جا کر اور بھی خاک میں ملا لایا ابتدا ہی میں مر گئے سب یار عشق کی کون انتہا لایا اب تو جاتے ہیں بت کدے سے میرؔ پھر ملیں گے اگر خدا لایا,b r h gor e dil jha k laay ab ke shart e vaf baj laay qadr rakht na th mat e dil saare aalam me mai dikh laay dil ki yak qatra huu nah hai besh ek aalam ke sar bal laay sab pe jis baar ne gir n k us ko ye n tav uth laay dil mujhe us gal me le j kar aur bh haak me mil laay ibtid h me mar ga.e sab yaar ishq k kaun intih laay ab to jaate hai but kade se 'm r' phir mile ge agar hud laay
ہمارے اگے ترا جب کسو نے نام لیا دل ستم زدہ کو ہم نے تھام تھام لیا قسم جو کھائیے تو طالع زلیخا کی عزیز مصر کا بھی صاحب اک غلام لیا خراب رہتے تھے مسجد کے اگے مے خانے نگاہ مست نے ساقی کی انتقام لیا وہ کج روش نہ ملا راستے میں مجھ سے کبھی نہ سیدھی طرح سے ان نے مرا سلام لیا مزا دکھاویں گے بے رحمی کا تری صیاد گر اضطراب اسیری نے زیر دام لیا مرے سلیقے سے میری نبھی محبت میں تمام عمر میں ناکامیوں سے کام لیا اگرچہ گوشہ گزیں ہوں میں شاعروں میں میرؔ پہ میرے شور نے روئے زمیں تمام لیا,ham re aage tir jab kis ne naam liy dil e sitam zada ko ham ne thaam thaam liy qasam jo kh .iye to t la e zule h k az z e misr k bh s hab ik hul m liy har b rahte the masjid ke aage mai h ne nig h e mast ne saaq k intiq m liy vo kaj ravish na mil r ste me mujh se kabh na s dh tarah se un ne mir sal m liy maz dikh ve ge be rahm k tir sayy d gar iztir b e as r ne zer e d m liy mire sal qe se mer nibh mohabbat me tam m umr mai n k miyo se kaam liy agarche gosha guz huu mai sh .iro me 'm r' pa mere shor ne r e zam tam m liy
کچھ موج ہوا پیچاں اے میرؔ نظر ائی شاید کہ بہار ائی زنجیر نظر ائی دلی کے نہ تھے کوچے اوراق مصور تھے جو شکل نظر ائی تصویر نظر ائی مغرور بہت تھے ہم انسو کی سرایت پر سو صبح کے ہونے کو تاثیر نظر ائی گل بار کرے ہے گا اسباب سفر شاید غنچے کی طرح بلبل دلگیر نظر ائی اس کی تو دل ازاری بے ہیچ ہی تھی یارو کچھ تم کو ہماری بھی تقصیر نظر ائی,kuchh mauj e hav pech ai 'm r' nazar aa. sh yad ki bah r aa. zanj r nazar aa. dill ke na the k che aur q e musavvar the jo shakl nazar aa. tasv r nazar aa. ma hr r bahut the ham aa s k sar yat par so sub.h ke hone ko t s r nazar aa. gul b r kare haig asb b e safar sh yad hunche k tarah bulbul dil g r nazar aa. us k to dil z r be hech h th yaaro kuchh tum ko ham r bh taqs r nazar aa.
لذت سے نہیں خالی جانوں کا کھپا جانا کب خضر و مسیحا نے مرنے کا مزہ جانا ہم جاہ و حشم یاں کا کیا کہیے کہ کیا جانا خاتم کو سلیماں کی انگشتر پا جانا یہ بھی ہے ادا کوئی خورشید نمط پیارے منہ صبح دکھا جانا پھر شام چھپا جانا کب بندگی میری سی بندہ کرے گا کوئی جانے ہے خدا اس کو میں تجھ کو خدا جانا تھا ناز بہت ہم کو دانست پر اپنی بھی اخر وہ برا نکلا ہم جس کو بھلا جانا گردن کشی کیا حاصل مانند بگولے کی اس دشت میں سر گاڑے جوں سیل چلا جانا اس گریۂ خونیں کا ہو ضبط تو بہتر ہے اچھا نہیں چہرے پر لوہو کا بہا جانا یہ نقش دلوں پر سے جانے کا نہیں اس کو عاشق کے حقوق ا کر ناحق بھی مٹا جانا ڈھب دیکھنے کا ایدھر ایسا ہی تمہارا تھا جاتے تو ہو پر ہم سے ٹک انکھ ملا جانا اس شمع کی مجلس میں جانا ہمیں پھر واں سے اک زخم زباں تازہ ہر روز اٹھا جانا اے شور قیامت ہم سوتے ہی نہ رہ جاویں اس راہ سے نکلے تو ہم کو بھی جگا جانا کیا پانی کے مول ا کر مالک نے گہر بیچا ہے سخت گراں سستا یوسف کا بکا جانا ہے میری تری نسبت روح اور جسد کی سی کب اپ سے میں تجھ کو اے جان جدا جانا جاتی ہے گزر جی پر اس وقت قیامت سی یاد اوے ہے جب تیرا یکبارگی ا جانا برسوں سے مرے اس کی رہتی ہے یہی صحبت تیغ اس کو اٹھانا تو سر مجھ کو جھکا جانا کب میرؔ بسر ائے تم ویسے فریبی سے دل کو تو لگا بیٹھے لیکن نہ لگا جانا,lazzat se nah h l j no k khap jaan kab hizr o mas h ne marne k maza jaan ham j h o hasham yaa k ky kahiye ki ky jaan h tim ko sulaim k a gushtar e p jaan ye bh hai ad ko hursh d namat py re mu h sub.h dikh jaan phir shaam chhup jaan kab bandag mer s banda kareg ko jaane hai hud us ko mai tujh ko hud jaan th naaz bahut ham ko d nist par apn bh hir vo bur nikl ham jis ko bhal jaan gardan kash ky h sil m nind bag le k is dasht me sar gaa e juu sail chal jaan is girya e h n k ho zabt to behtar hai achchh nah chehre par loh k bah jaan ye naqsh dilo par se jaane k nah us ko shiq ke huq q aa kar n haq bh mit jaan dhab dekhne k dhar ais h tumh r th jaate to ho par ham se tuk aa kh mil jaan us sham.a k majlis me jaan hame phir vaa se ik za hm e zab taaza har roz uth jaan ai shor e qay mat ham sote h na rah j ve is raah se nikle to ham ko bh jag jaan ky paan ke mol aa kar m lik ne guhar bech hai sa ht gir sast y suf k bik jaan hai mer tir nisbat ruuh aur jasad k s kab aap se mai tujh ko ai jaan jud jaan jaat hai guzar j par us vaqt qay mat s yaad aave hai jab ter yak b rg aa jaan barso se mire us k raht hai yah sohbat te h us ko uth n to sar mujh ko jhuk jaan kab 'm r' basar aa.e tum vaise fareb se dil ko to lag baithe lekin na lag jaan
باتیں ہماری یاد رہیں پھر باتیں ایسی نہ سنیے گا پڑھتے کسو کو سنیے گا تو دیر تلک سر دھنیے گا سعی و تلاش بہت سی رہے گی اس انداز کے کہنے کی صحبت میں علما فضلا کی جا کر پڑھیے گنیے گا دل کی تسلی جب کہ ہوگی گفت و شنود سے لوگوں کی اگ پھنکے گی غم کی بدن میں اس میں جلیے بھنیے گا گرم اشعار میرؔ درونہ داغوں سے یہ بھر دیں گے زرد رو شہر میں پھریے گا گلیوں میں نے گل چنیے گا,b te ham r yaad rahe phir b te ais na suniyeg pa hte kis ko suniyeg to der talak sar dhuniyeg sa. o tal sh bahut s raheg is and z ke kahne k sohbat me ulm fuzl k j kar pa hiye ginyeg dil k tasall jab ki hog guft o shun d se logo k aag phu keg ham k badan me us me jaliye bhuniyeg garm ash. r 'm r' dar na d ho se ye bhar de ge zard r shahr me phiriyeg galiyo me ne gul chuniyeg
